Id,start,end,type,departement
812569,1963,1963,Object,Drawings and Prints
344376,1972,1972,Object,Drawings and Prints
190431,1907,1907,Object,European Sculpture and Decorative Arts
370276,1925,1925,Object,Drawings and Prints
654020,1963,1963,Object,Drawings and Prints
314751,1983,1983,Object,"Arts of Africa, Oceania, and the Americas"
218866,1910,1910,Object,European Sculpture and Decorative Arts
207660,1986,1986,Object,European Sculpture and Decorative Arts
38916,1885,1885,Object,Asian Art
828093,2020,2020,Object,Modern and Contemporary Art
554722,1930,1930,Object,Egyptian Art
212568,1888,1888,Object,European Sculpture and Decorative Arts
317952,1999,1999,Object,"Arts of Africa, Oceania, and the Americas"
174240,2009,2009,Object,Costume Institute
780333,1963,1963,Object,Drawings and Prints
719593,1963,1963,Object,Drawings and Prints
344639,1941,1941,Object,Drawings and Prints
478719,1925,1925,Object,Medieval Art
68749,1930,1930,Object,Asian Art
13415,1960,1960,Object,The American Wing
20889,2016,2016,Object,The American Wing
825798,1963,1963,Object,Drawings and Prints
229912,1985,1985,Object,European Sculpture and Decorative Arts
734473,2005,2005,Object,Photographs
435428,1949,1949,Object,Drawings and Prints
411770,1963,1963,Object,Drawings and Prints
325472,1962,1962,Object,Ancient Near Eastern Art
403161,1963,1963,Object,Drawings and Prints
230266,2002,2002,Object,European Sculpture and Decorative Arts
709129,2005,2005,Object,Photographs
92010,1978,1978,Object,Costume Institute
324377,1957,1957,Object,Ancient Near Eastern Art
660057,1921,1921,Object,Drawings and Prints
231058,1949,1949,Object,European Sculpture and Decorative Arts
411268,1963,1963,Object,Drawings and Prints
696679,1928,1928,Object,Arms and Armor
479604,1925,1925,Object,Medieval Art
342508,1917,1917,Object,Drawings and Prints
310456,1978,1978,Object,"Arts of Africa, Oceania, and the Americas"
267223,1995,1995,Object,Photographs
364917,1960,1960,Object,Drawings and Prints
831191,1965,1965,Object,Drawings and Prints
170541,2009,2009,Object,Costume Institute
42777,1950,1950,Object,Asian Art
570608,1917,1917,Object,Egyptian Art
217493,1909,1909,Object,European Sculpture and Decorative Arts
205244,1970,1970,Object,European Sculpture and Decorative Arts
393439,1991,1991,Object,Drawings and Prints
267317,1996,1996,Object,Photographs
568562,1922,1922,Object,Egyptian Art
324229,1952,1952,Object,Ancient Near Eastern Art
692587,1927,1927,Object,Drawings and Prints
504284,1980,1980,Object,Musical Instruments
629472,1963,1963,Object,Drawings and Prints
573375,1915,1915,Object,Egyptian Art
349202,1970,1970,Object,Drawings and Prints
